cikis_id,istasyon_adi,hat_kodu,hat_rengi,cikis_no,koordinat,cikis_adi
aksaray_m1a_1a,Aksaray,M1A,#E32726,,POINT(28.9489172 41.0115099),
aksaray_m1a_2b,Aksaray,M1A,#E32726,,POINT(28.947316 41.0125273),
atatürk_havalimanı_m1a_1,Atatürk Havalimanı,M1A,#E32726,1,POINT(28.8222179 40.9790055),Otopark
bakırköy___i_ncirli_m1a_1,Bakırköy-  İncirli,M1A,#E32726,1,POINT(28.8744474 40.9965885),
bayrampaşa___maltepe_m1a_1,Bayrampaşa - Maltepe,M1A,#E32726,1,POINT(28.9204577 41.034137),Fatih Parkı
bayrampaşa___maltepe_m1a_2,Bayrampaşa - Maltepe,M1A,#E32726,2,POINT(28.919964 41.0347855),Osmangazi Cd.
dtm___i_stanbul_fuar_merkezi_m1a_1,DTM - İstanbul Fuar Merkezi,M1A,#E32726,1,POINT(28.8280419 40.9864177),
emniyet___fatih_m1a__,Emniyet - Fatih,M1A,#E32726,,POINT(28.9389641 41.0182274),Emniyet GM
emniyet___fatih_m1a__,Emniyet - Fatih,M1A,#E32726,,POINT(28.9385867 41.0178356),Hastane
kocatepe_m1a__,Kocatepe,M1A,#E32726,,POINT(28.8958749 41.0483538),Forum İstanbul AVM
kocatepe_m1a__,Kocatepe,M1A,#E32726,,POINT(28.8957242 41.0487395),Kocatepe - Park
otogar_m1a_a,Otogar,M1A,#E32726,,POINT(28.8948779 41.040781),
otogar_m1a_b,Otogar,M1A,#E32726,,POINT(28.8943952 41.0395547),
sağmalcılar_m1a_1,Sağmalcılar,M1A,#E32726,1,POINT(28.9072503 41.0409914),Çimen Sk.
topkapı___ulubatlı_m1a__,Topkapı - Ulubatlı,M1A,#E32726,,POINT(28.9302543 41.0243824),T4 Aktarma - İGDAŞ
topkapı___ulubatlı_m1a__,Topkapı - Ulubatlı,M1A,#E32726,,POINT(28.9295906 41.0239391),Öğrenci Yurdu
yenikapi_M1A_3,Yenikapı,M1A,#E32726,3,POINT(28.9508936 41.0060313),Langa Bostanı
bağcılar_meydan_m1b__,Bağcılar Meydan,M1B,#E32726,,POINT(28.8570088 41.0346419),Bağcılar Merkez Camii
bağcılar_meydan_m1b__,Bağcılar Meydan,M1B,#E32726,,POINT(28.8561447 41.03473),Çarşı Cd.
esenler_metro_m1b__,Esenler Metro,M1B,#E32726,,POINT(28.8882071 41.0367916),Köprü
esenler_metro_m1b__,Esenler Metro,M1B,#E32726,,POINT(28.8886419 41.0376981),Ferhatpaşa
kirazlı_m1b__,Kirazlı,M1B,#E32726,,POINT(28.8418115 41.0309803),Engelliler Sarayı
kirazlı_m1b__,Kirazlı,M1B,#E32726,,POINT(28.843226 41.031318),Kazım Karabekir Mh.
kirazlı_m1b__,Kirazlı,M1B,#E32726,,POINT(28.8429484 41.032388),Mevlana Cd.
menderes_m1b__,Menderes,M1B,#E32726,,POINT(28.8781853 41.042545),Menderes Mh.
menderes_m1b__,Menderes,M1B,#E32726,,POINT(28.8789486 41.0429815),Sondurak Cd.
üçyüzlü_m1b_3,Üçyüzlü,M1B,#E32726,3,POINT(28.8699272 41.0363724),Merkez Mh.
üçyüzlü_m1b__,Üçyüzlü,M1B,#E32726,,POINT(28.8710702 41.0368178),Hastane - Meydan
üçyüzlü_m1b__,Üçyüzlü,M1B,#E32726,,POINT(28.8715308 41.0371826),Cami
4__levent_m2__,4. Levent,M2,#F5A623,,POINT(29.0070776 41.0848023),Sapphire - Safir
4__levent_m2__,4. Levent,M2,#F5A623,,POINT(29.0071845 41.0870376),Yeni Levent
4__levent_m2_4,4. Levent,M2,#F5A623,4,POINT(29.0077918 41.0855928),
